"doi:10.6085/AA/PELXXX_015MTBD014R00_20000803.50.5","doi:10.6085/AA/PELXXX_015MTBD014R00_20000803.40.2"
"doi:10.6085/AA/ANSXXX_015MTBD009R00_20040928.50.3","doi:10.6085/AA/ANSXXX_015MTBD009R00_20040928.40.2"
"doi:10.6085/AA/LOP001_026MTBD025R00_20050904.50.7","doi:10.6085/AA/LOP001_026MTBD025R00_20050904.40.2"
"doi:10.6085/AA/BEAXXX_015MTBD014R00_20060420.50.5","doi:10.6085/AA/BEAXXX_015MTBD014R00_20060420.40.2"
"doi:10.6085/AA/BEAXXX_015MTBD014R00_20060503.50.1","doi:10.6085/AA/BEAXXX_015MTBD014R00_20060503.40.1"
"doi:10.6085/AA/BEAXXX_015MTBD014R00_20060617.50.6","doi:10.6085/AA/BEAXXX_015MTBD014R00_20060617.40.3"
"doi:10.6085/AA/BEAXXX_015MTBD014R00_20060617.50.4","doi:10.6085/AA/BEAXXX_015MTBD014R00_20060617.40.3"
"doi:10.6085/AA/BEAXXX_015MTBD014R00_20051014.50.1","doi:10.6085/AA/BEAXXX_015MTBD014R00_20051014.40.1"
"doi:10.6085/AA/BBYX00_XXXITBDXLSR01_20000927.50.5","doi:10.6085/AA/BBYX00_XXXITBDXLSR01_20000927.40.2"
"doi:10.6085/AA/BBYX00_XXXITV2XMMR03_20100417.50.1","doi:10.6085/AA/BBYX00_XXXITV2XMMR03_20100417.40.1"
"doi:10.6085/AA/BBYX00_XXXITV2XMMR03_20090721.50.2","doi:10.6085/AA/BBYX00_XXXITV2XMMR03_20090721.40.1"
